city,country,continent,avg_cost,climate,activities,best_months,avg_temp_range,popularity,safety_rating
San Jose,Costa Rica,Central America,1150,tropical,"nature|adventure|food|culture|wildlife","Dec|Jan|Feb|Mar|Apr",18-28°C,7,7
Lima,Peru,South America,1000,mild,"food|culture|history|surfing|nightlife","Dec|Jan|Feb|Mar|Apr",15-28°C,7,6
Cusco,Peru,South America,950,cool,"history|culture|trekking|ruins|adventure","May|Jun|Jul|Aug|Sep",5-20°C,8,7
Santiago,Chile,South America,1050,mild,"food|wine|culture|skiing|mountains","Oct|Nov|Dec|Mar|Apr",3-30°C,7,7
Montevideo,Uruguay,South America,1100,mild,"culture|food|beaches|history|tango","Nov|Dec|Jan|Feb|Mar",8-28°C,6,8
Cartagena,Colombia,South America,1050,tropical,"beach|history|culture|food|nightlife","Dec|Jan|Feb|Mar",24-32°C,8,6
Medellin,Colombia,South America,900,tropical,"culture|food|nightlife|nature|adventure","Dec|Jan|Feb|Jul|Aug",16-28°C,7,6
Quito,Ecuador,South America,850,mild,"culture|history|nature|adventure|food","Jun|Jul|Aug|Sep",8-22°C,7,7
La Paz,Bolivia,South America,750,cool,"culture|adventure|history|nature|trekking","May|Jun|Jul|Aug",0-18°C,6,6
Nairobi,Kenya,Africa,1000,mild,"safari|culture|nature|wildlife|adventure","Jan|Feb|Jun|Jul|Aug|Sep",10-26°C,7,6
Zanzibar,Tanzania,Africa,1100,tropical,"beach|diving|culture|relaxation|spices","Jun|Jul|Aug|Sep|Oct|Jan|Feb",22-32°C,7,7
Casablanca,Morocco,Africa,950,mild,"culture|food|architecture|history|beaches","Apr|May|Jun|Sep|Oct",10-28°C,6,7
Tunis,Tunisia,Africa,800,warm,"history|culture|beaches|ruins|food","Apr|May|Jun|Sep|Oct",8-33°C,6,7
Johannesburg,South Africa,Africa,1050,mild,"culture|history|safari|shopping|nightlife","Sep|Oct|Nov|Mar|Apr",6-26°C,7,6
Victoria Falls,Zimbabwe,Africa,1150,tropical,"nature|adventure|waterfalls|safari|wildlife","Apr|May|Jun|Jul|Aug|Sep",15-30°C,7,6
Melbourne,Australia,Oceania,1900,mild,"culture|food|coffee|sports|art","Sep|Oct|Nov|Mar|Apr",10-25°C,8,9
Brisbane,Australia,Oceania,1750,warm,"beach|nature|food|culture|adventure","Apr|May|Jun|Sep|Oct",12-29°C,7,9
Perth,Australia,Oceania,1850,warm,"beach|nature|food|wine|relaxation","Sep|Oct|Nov|Mar|Apr",13-30°C,7,9
Wellington,New Zealand,Oceania,1700,cool,"culture|food|nature|museums|hiking","Dec|Jan|Feb|Mar",8-20°C,6,9
Fiji,Fiji,Oceania,1650,tropical,"beach|diving|relaxation|culture|adventure","May|Jun|Jul|Aug|Sep|Oct",20-31°C,8,8
Phuket,Thailand,Asia,950,tropical,"beach|nightlife|diving|food|relaxation","Nov|Dec|Jan|Feb|Mar",24-33°C,9,7
Krabi,Thailand,Asia,900,tropical,"beach|nature|climbing|islands|relaxation","Nov|Dec|Jan|Feb|Mar",24-33°C,8,7
Siem Reap,Cambodia,Asia,700,tropical,"temples|history|culture|food|adventure","Nov|Dec|Jan|Feb",22-35°C,8,7
Luang Prabang,Laos,Asia,650,tropical,"temples|culture|nature|waterfalls|food","Nov|Dec|Jan|Feb",15-35°C,6,8
Yangon,Myanmar,Asia,750,tropical,"temples|culture|history|food|markets","Nov|Dec|Jan|Feb",18-36°C,6,6
Colombo,Sri Lanka,Asia,850,tropical,"culture|food|beaches|history|temples","Jan|Feb|Mar|Jul|Aug",24-31°C,7,7
Maldives,Maldives,Asia,2500,tropical,"beach|diving|luxury|relaxation|romance","Nov|Dec|Jan|Feb|Mar|Apr",25-31°C,9,9
Big Sky,USA,North America,1600,cold,"skiing|nature|hiking|adventure|relaxation","Dec|Jan|Feb|Jul|Aug",-15-25°C,6,9
Okinawa,Japan,Asia,1500,subtropical,"beach|culture|diving|food|relaxation","Apr|May|Jun|Sep|Oct",15-30°C,7,9
Sardinia,Italy,Europe,1350,warm,"beach|food|nature|history|hiking","May|Jun|Jul|Aug|Sep",10-30°C,7,8
Kanazawa,Japan,Asia,1400,mild,"culture|gardens|food|history|crafts","Apr|May|Jun|Sep|Oct",3-30°C,7,9
