age_group,primary_style,secondary_interests,group_type,budget,climate_preference,safety_importance,popularity_preference
36-50,relaxation,adventure,friends,high,tropical,0.9085311062634083,0.8140860633790643
18-25,nature,"culture,relaxation",couple,medium,any,0.958551461919505,0.5431944204598338
36-50,nightlife,beach,family,luxury,cold,0.5820462311098693,0.9323075604027973
18-25,nightlife,"nature,relaxation",solo,high,cool,0.8317642991948244,0.8438155030370618
36-50,nature,"nightlife,adventure",solo,medium,any,0.6966945161420249,0.7829625259574122
36-50,adventure,beach,friends,medium,mild,0.780250754348492,0.7899850199754554
51+,nature,nightlife,friends,high,warm,0.9412741627206727,0.7622855674264883
26-35,nature,"food,beach",family,high,hot,0.9365963870729574,0.6564560670046984
18-25,culture,"nature,adventure",solo,low,warm,0.8348786613062052,0.9356580583323013
18-25,adventure,"nature,beach",couple,low,mild,0.9587944032480071,0.7303137806333064
36-50,beach,nightlife,family,high,any,0.6320650627327447,0.32558014093342197
36-50,adventure,"beach,relaxation",solo,high,hot,0.6361961569863477,0.9621431066581889
18-25,food,culture,solo,low,tropical,0.8208882841934262,0.4367758479521698
18-25,relaxation,"nightlife,culture",friends,luxury,hot,0.7198029290360302,0.3329418757860675
36-50,nightlife,"beach,relaxation",couple,high,cool,0.9645621624969194,0.890071719294178
51+,food,"adventure,nightlife",family,high,tropical,0.5272825978375435,0.6380085923144899
36-50,nightlife,beach,family,medium,tropical,0.8278285746239378,0.9848994536131677
51+,adventure,"culture,nature",friends,high,hot,0.5847918561603556,0.9213203404099708
18-25,nightlife,"relaxation,beach",solo,low,any,0.8505480113527424,0.7557025434877667
18-25,adventure,nightlife,family,luxury,warm,0.6504098776340688,0.8252282427109514
51+,nightlife,"beach,nature",solo,high,cold,0.9986127144234218,0.7448047186026235
36-50,culture,"nature,beach",family,high,hot,0.7235592818435386,0.7634592953459463
18-25,relaxation,nature,family,medium,tropical,0.5053597793712681,0.6087732166472997
51+,beach,"culture,nightlife",couple,low,warm,0.5426483491372041,0.8848572245305657
26-35,beach,culture,solo,low,warm,0.5726127261215108,0.8720671918098284
36-50,relaxation,culture,couple,high,mild,0.8100376094256556,0.869661986310104
18-25,nature,relaxation,couple,high,warm,0.7625643755662701,0.8527094413968312
26-35,food,"nature,adventure",friends,luxury,warm,0.6827497163900458,0.4124048925444674
51+,nature,relaxation,family,medium,cold,0.7551924522069263,0.4629834694665348
18-25,food,"relaxation,nature",couple,luxury,hot,0.8813618315619653,0.9070308267066094
51+,nature,culture,family,high,cool,0.6312984257409668,0.5960756996395955
36-50,food,culture,friends,medium,cold,0.8377027925269684,0.5024212894165738
18-25,culture,"beach,relaxation",solo,medium,hot,0.739730036712585,0.6314076076087253
18-25,nature,"relaxation,adventure",couple,luxury,mild,0.9097158974237429,0.6172837564440297
18-25,beach,"food,relaxation",friends,luxury,tropical,0.7256084472082205,0.42870233463621527
36-50,food,"adventure,culture",couple,high,any,0.8413102831923818,0.3060845981482103
36-50,food,"adventure,culture",friends,medium,hot,0.955440978367526,0.8622934837852139
26-35,adventure,"culture,nightlife",solo,luxury,cool,0.5795297078516257,0.755972863037422
51+,culture,"beach,nature",couple,low,warm,0.8949385844837054,0.8558501352322208
51+,relaxation,nightlife,solo,low,any,0.7789616879958151,0.35378910063604646
51+,relaxation,nature,couple,luxury,warm,0.676337784225712,0.7802033922041345
36-50,nature,nightlife,friends,luxury,warm,0.8540078996074808,0.9877984280196177
36-50,nightlife,"culture,food",couple,medium,any,0.5023767292924048,0.8008957917164372
51+,adventure,beach,friends,luxury,mild,0.8109047497406636,0.35552068458991043
18-25,beach,adventure,family,high,cold,0.7619699403732348,0.33988264308407806
51+,beach,nightlife,couple,low,mild,0.964902714586924,0.6287812925429874
51+,food,culture,couple,luxury,warm,0.9268799853427676,0.9357945254706452
26-35,relaxation,"nightlife,nature",couple,medium,cool,0.6861696086276885,0.4407649420395836
51+,relaxation,food,friends,high,any,0.7145518845924297,0.42417742905927797
26-35,nightlife,food,couple,low,any,0.8798944768776013,0.5083440550369916
26-35,nature,adventure,solo,luxury,tropical,0.6083732465938444,0.4565236362443565
26-35,relaxation,"beach,culture",solo,medium,hot,0.6135866032535489,0.7237956667525363
26-35,beach,food,friends,medium,hot,0.7148876858382457,0.7443597752773738
